,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
303,25968903,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
304,166717304,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
305,8880917,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
306,25968798,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
307,4598804,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
308,4996575,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
309,154726206,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
310,52732997,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
311,31483872,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
312,11810611,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
313,35213665,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
314,40906288,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
315,191450111,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
316,166705145,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
317,11813961,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
318,250956119,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
319,251475663,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
320,339833461,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
321,31646240,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
322,211177630,0.063,1,1,2.0,0.153,0.3330000000000001,0.7529999999999999,0.633,0.873
323,4567802,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
324,428051882,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
325,24657142,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
326,24477990,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
327,488545800,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
328,80040660,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
329,249509051,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
330,42444780,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
331,4433423,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
332,323312331,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
333,4368103,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
334,31568196,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
335,38859858,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
336,41678042,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
337,8048061,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
338,217869562,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
339,217488810,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
340,37831833,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
341,31450659,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
342,32027770,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
