id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
478,-2.9344099999999997,53.435148999999996,3,1,1,1
479,-2.9271130000000003,53.399995999999994,3,1,1,1
480,-2.933384,53.384864,3,1,1,1
481,-2.9108509999999996,53.430827,2,1,1,1
482,-2.955964,53.428354000000006,3,1,1,1
483,-2.924729,53.367070999999996,3,1,1,1
484,-2.910894,53.413856,3,1,1,1
485,-2.895482,53.384912,3,1,1,1
486,-2.94916,53.378987,3,4,1,1
487,-2.929385,53.440779000000006,3,1,1,1
488,-2.9055459999999997,53.415631999999995,2,4,1,1
489,-2.970239,53.445227,3,1,1,1
490,-2.914244,53.367313,3,1,1,1
491,-2.923575,53.431826,3,1,1,1
492,-2.9706099999999998,53.442977,2,1,1,1
493,-2.945418,53.41499,3,1,1,1
494,-2.9296450000000003,53.42509200000001,3,4,9,-1
495,-2.947521,53.403989,2,1,1,1
496,-2.97295,53.41032,3,1,1,1
497,-2.90817,53.414524,3,1,1,1
498,-2.9157029999999997,53.419185999999996,2,1,9,-1
499,-2.9378889999999998,53.468703000000005,3,4,2,2
500,-2.9643669999999998,53.451854000000004,2,1,2,2
501,-2.8661369999999997,53.391716,2,1,1,1
502,-2.968251,53.420003,3,1,1,1
503,-2.9525799999999998,53.433837,3,1,1,1
504,-2.9895970000000003,53.402246,3,1,1,1
505,-2.917441,53.409779,3,1,1,1
506,-2.9843919999999997,53.401552,3,1,1,1
507,-2.9206779999999997,53.469772,3,1,1,1
508,-2.911959,53.40876899999999,3,1,1,1
509,-2.93095,53.447661,3,1,1,1
510,-2.981845,53.424854,3,1,8,1
511,-2.93757,53.43648100000001,3,1,1,1
512,-2.9547529999999997,53.424696,3,4,1,1
513,-2.9301369999999998,53.390391,3,1,1,1
514,-2.872637,53.426474,2,1,1,1
515,-2.9134759999999997,53.413557999999995,2,1,1,1
516,-2.940759,53.432277,3,1,2,2
517,-2.9174830000000003,53.466246,3,1,1,1
518,-2.879036,53.402535,3,1,1,1
519,-2.8565810000000003,53.383902,3,4,1,1
520,-2.954468,53.427431000000006,3,6,1,1
521,-2.969609,53.432729,3,5,2,2
522,-2.933735,53.392646,3,1,9,-1
523,-2.924687,53.39011,3,1,2,2
524,-2.914346,53.365766,3,1,2,2
525,-2.876239,53.349126,3,4,1,1
526,-2.944904,53.412172,3,1,1,1
527,-2.913497,53.438421,3,1,1,1
528,-2.8599509999999997,53.395168000000005,3,1,1,1
529,-2.94806,53.458673,2,1,1,1
530,-2.989102,53.401666000000006,3,4,1,1
531,-2.941172,53.410053000000005,3,1,1,1
532,-2.99454,53.416174,3,1,1,1
533,-2.952049,53.434326,3,4,1,1
534,-2.952684,53.463427,2,1,1,1
535,-2.9107279999999998,53.413821,3,1,1,1
536,-2.9529,53.379497,3,1,1,1
537,-2.979103,53.406387,3,1,1,1
538,-2.9457709999999997,53.415985,3,4,1,1
539,-2.898746,53.406397,3,4,1,1
540,-2.9665340000000002,53.442489,3,1,1,1
541,-2.953662,53.425028000000005,3,4,1,1
542,-2.969041,53.445489,3,1,2,2
543,-2.988154,53.430177,2,1,1,2
544,-3.000283,53.42241800000001,2,1,1,1
545,-2.855916,53.391215,2,1,1,1
546,-2.851861,53.348546999999996,3,1,1,1
547,-2.964779,53.425487,3,1,1,1
548,-2.905636,53.400736,3,1,1,1
549,-2.837781,53.346804000000006,3,1,1,1
550,-2.9016669999999998,53.359588,2,1,1,1
551,-2.988179,53.407265,3,4,9,1
552,-2.945264,53.412133,2,1,1,2
553,-2.9994099999999997,53.43909,3,1,1,1
554,-2.948185,53.404092000000006,3,1,2,2
555,-2.914546,53.389818999999996,3,4,1,1
556,-2.973338,53.395008999999995,3,1,1,1
557,-2.977344,53.405080000000005,2,1,1,1
558,-2.840568,53.385346,3,4,1,1
559,-2.912988,53.438568000000004,3,1,1,1
560,-2.957627,53.38513100000001,3,4,1,1
561,-2.985225,53.433689,3,1,1,1
562,-2.95654,53.39770600000001,3,1,1,1
563,-2.954973,53.424416,3,1,1,1
564,-2.890045,53.394552000000004,3,1,2,2
565,-2.970798,53.441987,3,1,2,2
566,-2.913509,53.365979,3,1,1,2
567,-2.927652,53.434464,3,1,1,1
568,-2.967351,53.386293,3,1,1,1
569,-2.9408279999999998,53.412887,3,4,1,1
570,-2.933278,53.392362,2,7,1,1
571,-2.875093,53.422968000000004,3,4,1,1
572,-2.893354,53.345763,3,1,1,1
573,-2.963167,53.400781,3,1,1,1
574,-2.943171,53.388895,3,1,1,2
575,-2.864473,53.358623,3,1,1,1
576,-2.970375,53.408857999999995,3,4,1,1
577,-2.957078,53.443768999999996,3,1,1,1
